# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| Temperature | Conversion | - |
| Pressure | Yield | - |
| Flow rate | Selectivity | - |
| Reactor volume | Heat Transfer Coefficient | - |
| Nitric Acid Concentration | Conversion | - |
| Nitric Acid Concentration | Selectivity | - |
| Residence time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| Temperature | Conversion | increase |
| Pressure | Yield | decrease |
| Flow rate | Selectivity | unchanged |
| Reactor volume | Heat Transfer Coefficient | increase |
| Nitric Acid Concentration | Conversion | increase |
| Nitric Acid Concentration | Selectivity | decrease |
| Residence time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| Temperature | Conversion | increase |
| Pressure | Yield | decrease |
| Flow rate | Selectivity | unchanged |
| Reactor volume | Heat Transfer Coefficient | increase |
| Nitric Acid Concentration | Conversion | increase |
| Nitric Acid Concentration | Selectivity | decrease |
