# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion of TFMB | increase |
| product selectivity | unchanged | unchanged |
| flow_rates | optimized for yield | - |
| M_ration | range (from 1:1 to 3:1) | - |
| temperature | not specified | - |
| pressure | not specified | - |
| residence_time | product selectivity | unchanged |
| conversion of TFMB | increase | increase |
| residence_time | conversion of TFMB | increase |
| product selectivity | unchanged | unchanged |
| flow_rates | yield | - |
