# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| flow_rate | conversion_of_TFMB | decrease |
| temperature | conversion_of_TFMB | increase |
| residence_time | conversion_of_TFMB | increase |
| pressure | residence_time | decrease |
| flow_rate | residence_time | decrease |
| residence_time | product_selectivity | unchanged |
| flow_rate | conversion_of_TFMB | decrease |
| temperature | conversion_of_TFMB | increase |
| residence_time | conversion_of_TFMB | increase |
| pressure | residence_time | - |
| flow_rate | residence_time | decrease |
