# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| Temperature | - | - |
| residence_time | conversion of TFMB | increase |
| temperature | - | - |
| pressure | - | - |
| Temperature | - | - |
| Pressure | - | - |
| Residence time | Conversion of TFMB | increase |
| Temperature | - | - |
| Pressure | - | - |
| Residence times | Temperature | increase |
| Temperature | Selectivity | unchanged |
| Residence time | Product selectivity | unchanged |
| Temperature | Conversion of TFMB | increase |
| Pressure | Yield | - |
| Yield | Residence time | - |
| Conversion of COF2 | Stoichiometry (F2/CO) | decrease |
| Selectivity | Temperature | decrease |
| Stoichiometry (F2/CO) | Selectivity | unchanged |
| Temperature | Conversion of TFMB | increase |
| Pressure | Yield | - |
| Yield | Residence time | - |
| Conversion of COF2 | Stoichiometry (F2/CO) | decrease |
| Selectivity | Temperature | decrease |
| Stoichiometry (F2/CO) | Selectivity | unchanged |
| Temperature | Conversion of TFMB | increase |
| Pressure | Yield | - |
| Yield | Residence time | - |
| Conversion of COF2 | Stoichiometry (F2/CO) | decrease |
| Selectivity | Temperature | decrease |
| Stoichiometry (F2/CO) | Selectivity | unchanged |
| Temperature | Conversion of TFMB | increase |
| Pressure | Yield | - |
