# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| temperature | conversion of TFMB | - |
| temperature | product selectivity | - |
| residence_time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| temperature | conversion of TFMB | - |
| temperature | product selectivity | - |
| residence_time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| temperature | conversion of TFMB | - |
| temperature | product selectivity | - |
| residence_time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| temperature | conversion of TFMB | - |
| temperature | product selectivity | - |
| residence_time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
| temperature | conversion of TFMB | - |
| temperature | product selectivity | - |
| residence_time | conversion of TFMB | increase |
| residence_time | product selectivity | unchanged |
