# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| 1. temperature | reaction rate | increase |
| 2. residence_time | conversion of TFMB | increase |
| 3. catalyst_loading | yield of the desired product | decrease |
| 1. temperature | reaction rate | increase |
| 2. residence_time | conversion of TFMB | increase |
| 3. catalyst_loading | yield of the desired product | decrease |
| 1. temperature | reaction rate | increase |
| 2. residence_time | conversion of TFMB | increase |
| 3. catalyst_loading | yield of the desired product | decrease |
| 4. pressure | reaction rate | increase |
| 5. solvent_amount | yield of the desired product | increase |
| 6. pH | conversion of TFMB | decrease |
| 1. temperature | reaction rate | increase |
| 2. residence_time | conversion of TFMB | increase |
| 3. catalyst_loading | yield of the desired product | decrease |
| 4. pressure | reaction rate | increase |
| 5. solvent_amount | yield of the desired product | increase |
| 6. pH | conversion of TFMB | decrease |
