# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion of TFMB | increase |
| product selectivity | unchanged | unchanged |
| packing_size | complete conversion platform appearance | - |
| packing_size | 90% conversion time | decrease |
| residence_time | conversion of TFMB | increase |
| product selectivity | unchanged | unchanged |
| packing_size | complete conversion platform appearance | - |
| packing_size | 90% conversion time | decrease |
| flow_rate | phase separation | decrease |
| pressure_range | reaction conditions control | increase |
| temperature | reaction conditions control | increase |
| inner_diameter | microdispersion state maintenance | - |
| residence_time | product selectivity | unchanged |
| packing_particles_size | complete conversion platform appearance | - |
| packing_size | 90% conversion time | decrease |
| flow_rate | phase separation | decrease |
