# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion_of_TFMB | increase |
| residence_time | product_selectivity | unchanged |
| technical_expertise_required_for_safe_operation | decrease | decrease |
| reaction_temperature | decrease | decrease |
| control_over_reaction_temperature_and_reactant_mixing | increase | increase |
| performance_of_reactions_sensitive_to_heat_and_mass_transfer | improve | - |
| space_time_yields_comparable_to_laboratory_bubble_column | unchanged | unchanged |
| technical_expertise_required_for_safe_operation | decrease | decrease |
| microreactor_volume_designated_for_fluid_tightness | increase | increase |
| performance_of_reactions_sensitive_to_heat_and_mass_transfer | improve | - |
| control_over_reaction_temperature_and_reactant_mixing | increase | increase |
| performance_of_reactions_sensitive_to_heat_and_mass_transfer | improve | - |
