# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| heating | temperature_of_reactor | increase |
| stirring | duration | increase |
| residence_time | conversion_of_TFMB | increase |
| residence_time | product_selectivity | unchanged |
| clogging_and_solid_accumulation | pressure_inside_reactor | increase |
| flow_rate | conversion_of_TFMB | decrease |
| flow_rate | product_selectivity | unchanged |
| operating_pressure | temperature_increase | increase |
| residence_time | yield_of_TFMB | increase |
| residence_time | product_selectivity | unchanged |
| heating | temperature_of_reactor | increase |
| stirring | duration | increase |
| flow_rate | conversion_of_TFMB | decrease |
| flow_rate | product_selectivity | unchanged |
| clogging_and_solid_accumulation | pressure_inside_reactor | increase |
| residence_time | yield_of_TFMB | increase |
| residence_time | product_selectivity | unchanged |
| operating_pressure | temperature | - |
