# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| 1. | reaction rate | increase |
| 2. | conversion of TFMB | increase |
| 3. | pressure drop ratio | decrease |
| 1. | reaction rate | increase |
| 2. | conversion of TFMB | increase |
| 3. | pressure drop ratio | decrease |
| 2. flow rate | production levels | increase |
| 3. number of microchannels | pressure drop ratio | decrease |
| 4. temperature | up to 200 °C | increase |
| 5. pressure | up to 20 bar | increase |
| 1. | reaction rate | increase |
| 2. | conversion of TFMB | increase |
| 3. | pressure drop ratio | decrease |
| 5. flow rate | production levels | increase |
| 6. number of microchannels | pressure drop ratio | decrease |
| 7. temperature | up to 200 °C | increase |
| 8. pressure | up | - |
