# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion of TFMB | increase |
| temperature | reaction rate | increase |
| temperature | yield | decrease |
| molar_ratio | conversion of TFMB | increase |
| flow_rate | flow rates | increase |
| catalyst_loading | conversion of TFMB | increase |
| residence_time | conversion of TFMB | increase |
| temperature | reaction rate | increase |
| temperature | yield | decrease |
| molar_ratio | conversion of TFMB | increase |
| flow_rate | flow rates | increase |
| catalyst_loading | conversion of TFMB | increase |
