# Influence Factor Summary

| Factor | Metric | Direction |
|--------|--------|-----------|
| residence_time | conversion_rate | increase |
| residence_time | product_selectivity | decrease |
| H2O2_concentration | reaction_rate | increase |
| H2O2_concentration | energy_consumption | increase |
| H2O2_concentration | decolorization_efficiency | decrease |
| pH_value | conversion_rate | decrease |
| pH_value | product_selectivity | increase |
| residence_time | conversion_rate | increase |
| residence_time | product_selectivity | decrease |
| H2O2_concentration | reaction_rate | increase |
| H2O2_concentration | energy_consumption | increase |
| H2O2_concentration | decolorization_efficiency | decrease |
| pH_value | conversion_rate | decrease |
| pH_value | product_selectivity | increase |
