# Influence Factor Analysis

| Factor | Metric | Direction |
|--------|--------|-----------|
| temperature | conversion | increase |
| temperature | yield | increase |
| residence_time | conversion | increase |
| residence_time | yield | increase |
| catalyst_loading | conversion | increase |
| catalyst_loading | yield | increase |
| flow_rate | residence_time | decrease |
| flow_rate | conversion | decrease |
| reactant_concentration | conversion | increase |
| pressure | conversion | unchanged |
